"","Aljufra","Alkufra","Azzawya","Benghazi","Ejdabia","Misrata","Murzuq","Sebha","Tripoli"
"1",46.61,79.36,73.05,85.79,62.23,56.98,29.76,55.62,56.99
"2",52.99,17.43,26.95,14.21,36.7,40.7,67.26,40.83,40.86
"3",0,3.21,0,0,1.06,2.33,2.98,3.55,2.15
"4",0.4,0,0,0,0,0,0,0,0
