"","Aljufra","Alkufra","Azzawya","Benghazi","Ejdabia","Misrata","Murzuq","Sebha","Tripoli"
"1",33.47,3.67,23.95,34.01,36.17,37.21,67.26,33.73,23.66
"2",7.57,5.96,13.17,8.12,28.19,15.12,2.98,13.61,9.14
"3",54.98,86.24,45.51,52.79,23.4,30.81,26.79,33.14,51.08
"4",3.98,4.13,17.37,5.08,12.23,16.86,2.98,19.53,16.13
