"","Aljufra","Alkufra","Azzawya","Benghazi","Ejdabia","Misrata","Murzuq","Sebha","Tripoli"
"1",69.72,43.58,19.76,88.83,68.09,61.05,89.88,36.69,43.55
"2",29.88,17.43,43.71,11.17,23.94,21.51,8.33,24.85,15.59
"3",0.4,36.7,16.17,0,6.91,14.53,1.79,30.77,25.27
"4",0,2.29,20.36,0,1.06,2.91,0,7.69,15.59
