"","family_size","Average_expenditure"
"1","1",540
"2","10",440
"3","12+",1604.83333333333
"4","2",606.875
"5","3",1197.1186440678
"6","4",1219.45714285714
"7","5",1463.05555555556
"8","6",936.138888888889
"9","7",2017.82352941176
"10","8",1042.45454545455
"11","9",545.333333333333
