"","Aljufra","Alkufra","Azzawya","Benghazi","Ejdabia","Misrata","Murzuq","Sebha","Tripoli"
"1",23.51,36.24,33.53,34.52,58.51,47.09,52.98,52.07,18.28
"2",68.13,60.09,65.27,64.47,41.49,38.95,44.64,47.93,64.52
"3",0.4,1.38,0,0.51,0,1.74,0,0,1.08
"4",7.97,2.29,1.2,0.51,0,12.21,2.38,0,16.13
