"","Aljufra","Alkufra","Azzawya","Benghazi","Ejdabia","Misrata","Murzuq","Sebha","Tripoli"
"1",79.28,79.82,77.25,93.4,78.72,73.26,81.55,52.07,49.46
"2",20.72,16.51,22.75,6.6,16.49,26.74,18.45,47.34,48.92
"3",0,2.29,0,0,4.79,0,0,0,1.08
"4",0,1.38,0,0,0,0,0,0.59,0.54
