"","Aljufra","Alkufra","Azzawya","Benghazi","Ejdabia","Misrata","Murzuq","Sebha","Tripoli"
"1",98.01,47.71,27.54,93.91,88.83,72.09,93.45,43.79,53.23
"2",1.59,12.84,24.55,6.09,2.66,10.47,4.76,17.75,4.84
"3",0.4,37.16,27.54,0,7.45,14.53,1.79,30.77,26.34
"4",0,2.29,20.36,0,1.06,2.91,0,7.69,15.59
