"","Aljufra","Alkufra","Azzawya","Benghazi","Ejdabia","Misrata","Murzuq","Sebha","Tripoli"
"1",47.01,84.4,73.65,85.79,65.43,59.88,30.95,71.01,59.68
"2",52.59,12.84,26.35,14.21,34.04,38.95,69.05,26.04,39.25
"3",0,2.75,0,0,0.53,1.16,0,2.96,1.08
"4",0.4,0,0,0,0,0,0,0,0
