"","Aljufra","Alkufra","Azzawya","Benghazi","Ejdabia","Misrata","Murzuq","Sebha","Tripoli"
"1",94.42,97.25,54.49,95.43,94.15,73.26,86.31,92.9,77.42
"2",0,2.75,30.54,4.06,4.79,12.79,3.57,3.55,13.44
"3",5.58,0,14.37,0.51,1.06,13.95,10.12,3.55,9.14
"4",0,0,0.6,0,0,0,0,0,0
