"","Aljufra","Alkufra","Azzawya","Benghazi","Ejdabia","Misrata","Murzuq","Sebha","Tripoli"
"1",92.83,83.03,74.25,83.76,76.6,61.63,80.36,69.23,45.7
"2",1.2,4.59,11.38,10.15,1.06,7.56,16.67,4.73,13.44
"3",3.98,10.55,13.77,5.08,22.34,25,2.98,18.34,33.87
"4",1.99,1.83,0.6,1.02,0,5.81,0,7.69,6.99
