"","Aljufra","Alkufra","Azzawya","Benghazi","Ejdabia","Misrata","Murzuq","Sebha","Tripoli"
"1",68.53,58.26,56.29,78.68,54.26,48.84,18.45,16.57,42.47
"2",31.08,38.07,43.71,20.3,40.43,51.16,81.55,81.66,54.3
"3",0.4,2.29,0,1.02,5.32,0,0,1.18,2.69
"4",0,1.38,0,0,0,0,0,0.59,0.54
